input_curie	preferred_identifier	preferred_label	confidence	method	mapping_relation	combo_concept_id	combo_label	source_identifier	evidence
COMBO:1.2.12.5.2.6	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.5.2.6	Ginger_Indirect_Moxibustion	COMBO:1.2.12.5.2.6	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.12.5.2.7	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.5.2.7	Ginger_Partitioned_Moxibustion	COMBO:1.2.12.5.2.7	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.12.5.2.8	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.5.2.8	Ginger_Salt_Partitioned_Moxibustion	COMBO:1.2.12.5.2.8	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.12.5.2.9	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.5.2.9	Herb_Cake_Seperated_Moxibustion	COMBO:1.2.12.5.2.9	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.12.5.2.10	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.5.2.10	Herb_Partitioned_Spread_Moxibustion	COMBO:1.2.12.5.2.10	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.12.5.2.11	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.5.2.11	Herbal_Moxa_Moxibustion	COMBO:1.2.12.5.2.11	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.12.5.2.12	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.5.2.12	Grain_Shaped_Moxibustion	COMBO:1.2.12.5.2.12	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.12.5.2.13	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.5.2.13	Cotton_Sheet_Moxibustion	COMBO:1.2.12.5.2.13	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.12.5.2.14	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.5.2.14	Thin_Cotton_Moxibustion	COMBO:1.2.12.5.2.14	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.12.5.2.15	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.5.2.15	Thunder_Fire_Moxibustion	COMBO:1.2.12.5.2.15	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.12.5.2.16	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.5.2.16	Tortoise_Shell_Moxibustion	COMBO:1.2.12.5.2.16	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.12.5.2.17	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.5.2.17	Partition_Bran_Moxibustion	COMBO:1.2.12.5.2.17	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.12.5.2.18	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.5.2.18	Partition_Herb_Moxibustion	COMBO:1.2.12.5.2.18	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.12.5.2.19	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.5.2.19	Isolated_Moxibustion	COMBO:1.2.12.5.2.19	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.12.5.3	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.5.3	Mild_Warm_Moxibustion	COMBO:1.2.12.5.3	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.12.5.4	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.5.4	Moxa_Stick_Moxibustion	COMBO:1.2.12.5.4	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.12.5.5	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.5.5	Governor_Moxibustion	COMBO:1.2.12.5.5	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.12.5.6	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.5.6	Fu_Yang_Moxibustion	COMBO:1.2.12.5.6	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.12.6	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.6	Snake_Moxibustion	COMBO:1.2.12.6	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.12.6.1	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.6.1	Long_Snake_Moxibustion	COMBO:1.2.12.6.1	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.12.7	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.7	Medicated_Thread_Moxibustion	COMBO:1.2.12.7	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.12.8	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.8	Zhuang_Medicated_Thread_Moxibustion	COMBO:1.2.12.8	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.12.10	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.10	Solar_Term_Moxibustion	COMBO:1.2.12.10	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.15.1.2	UMLS:C0034945	Reflexology	0.78	variant_parent_mapping	narrow_to_parent	1.2.15.1.2	Lymphatic_Reflexology	COMBO:1.2.15.1.2	variant_parent:narrow_to_parent:reflexology
COMBO:1.2.15.1.3	UMLS:C0034945	Reflexology	0.78	variant_parent_mapping	narrow_to_parent	1.2.15.1.3	Foot_Reflexology	COMBO:1.2.15.1.3	variant_parent:narrow_to_parent:reflexology
COMBO:1.2.15.1.4	UMLS:C0034945	Reflexology	0.78	variant_parent_mapping	narrow_to_parent	1.2.15.1.4	Hand_Reflexology	COMBO:1.2.15.1.4	variant_parent:narrow_to_parent:reflexology
COMBO:1.2.15.1.5	UMLS:C0034945	Reflexology	0.78	variant_parent_mapping	narrow_to_parent	1.2.15.1.5	Ear_Reflexology	COMBO:1.2.15.1.5	variant_parent:narrow_to_parent:reflexology
COMBO:1.3.1.1.1	UMLS:C0006155	Breathing_Exercise	0.72	variant_parent_mapping	close_match	1.3.1.1.1	Buteyko_Breathing_Technique	COMBO:1.3.1.1.1	variant_parent:close_match:breathing exercise
