umls_key	original_label	prefix	local_id	id_label
UMLS:C1418478	PEX6	MESH	C490759	PEX6 protein, human
UMLS:C4238384	pegvisomant Injection	RXCUI	1791293	
UMLS:C0645175	trisphenylcarbamoylcellulose	MESH	C068231	trisphenylcarbamoylcellulose
UMLS:C0645175	trisphenylcarbamoylcellulose	CAS	9047-07-8	
UMLS:C1384665	HFE	MESH	C103673	HFE protein, human
UMLS:C0653133	proendoproteinase B	MESH	C076061	proendoproteinase B
UMLS:C0056936	cytochrome ba3	MESH	C058557	cytochrome ba3
UMLS:C0073422	RNA 3'-terminal phosphate cyclase	MESH	C037451	RNA 3'-terminal phosphate cyclase
UMLS:C0071710	polyvinylidene fluoride	MESH	C024865	polyvinylidene fluoride
UMLS:C0071710	polyvinylidene fluoride	CAS	24937-79-9	
UMLS:C3256938	sodium starch	RXCUI	1366973	
UMLS:C0058622	docosahexaenoyl-coenzyme A	MESH	C044663	docosahexaenoyl-coenzyme A
UMLS:C1619850	FFN protein, human	MESH	C403421	FFN protein, human
UMLS:C0079490	Hematopoietic Cell Growth Factors	MESH	D016298	Hematopoietic Cell Growth Factors
UMLS:C0907683	T 30695	MESH	C116759	T 30695
UMLS:C0910126	cytochrome P-450 CYP2C subfamily	MESH	C400322	cytochrome P-450 CYP2C subfamily
UMLS:C1455627	SH2B1	MESH	C518910	SH2B1 protein, human
UMLS:C0614758	polyzin 50	MESH	C032314	polyzin 50
UMLS:C0614758	polyzin 50	CAS	80738-45-0	
UMLS:C0767086	fluorescein monophosphate	MESH	C119004	fluorescein monophosphate
UMLS:C0164523	olympia	MESH	C049241	olympia
UMLS:C0164523	olympia	CAS	71714-89-1	
UMLS:C0633443	Hellabrunner Mischung	MESH	C055593	Hellabrunner Mischung
UMLS:C0059575	erythrotropin	MESH	C039299	erythrotropin
UMLS:C0163183	fibrinogen Lille	MESH	C018544	fibrinogen Lille
UMLS:C0654414	black Gr	MESH	C077160	black Gr
UMLS:C0724554	cisapride monohydrate	RXCUI	221077	
UMLS:C0023820	Lipoproteins	MESH	D008074	Lipoproteins
UMLS:C1428918	PPARGC1B	MESH	C455622	PPARGC1B protein, human
UMLS:C0031460	Phenylalanine-tRNA Ligase	MESH	D010652	Phenylalanine-tRNA Ligase
UMLS:C0873014	jujube fruit extract	RXCUI	1424897	
UMLS:C0123515	indolicidin	MESH	C073143	indolicidin
UMLS:C0072074	Profilins	MESH	D051304	Profilins
UMLS:C3530452	malpighia glabra fruit extract	RXCUI	1364406	
UMLS:C5544552	shengbai decoction	MESH	C000712791	shengbai decoction
UMLS:C1826696	PRLHR	MESH	C112345	PRLHR protein, human
UMLS:C4546883	Carbon-8	MESH	C000615230	Carbon-8
UMLS:C0912161	glucose pentabutyrate	MESH	C404265	glucose pentabutyrate
UMLS:C0102137	alginate	RXCUI	1370451	
UMLS:C0040078	Thymidine Kinase	MESH	D013937	Thymidine Kinase
UMLS:C5446735	Efruxifermin	DRUGBANK	DB19012	Efruxifermin
UMLS:C0032144	Plasminogen Activator	MESH	D010960	Plasminogen Activators
UMLS:C0769262	glutathione S-transferase alpha	MESH	C119995	glutathione S-transferase alpha
UMLS:C5392450	TunR1	MESH	C000706814	TunR1
UMLS:C0634167	somatotropin releasing hormone-(1-29)NHEt, 1-N-MeTyr-27-Nle-28-Asn-	MESH	C056381	somatotropin releasing hormone-(1-29)NHEt, 1-N-MeTyr-27-Nle-28-Asn-
UMLS:C0208150	H 189	MESH	C045142	H 189
UMLS:C0768608	retinamidobenzyl glucuronide	MESH	C119692	retinamidobenzyl glucuronide
UMLS:C1436350	Dpt protein, mouse	MESH	C504453	Dpt protein, mouse
UMLS:C0220528	PBX1	MESH	C083400	PBX1 protein, human
UMLS:C0390687	sialic acid O-acetyltransferase	MESH	C099970	sialic acid O-acetyltransferase
UMLS:C0065670	mannofructokinase	MESH	C027295	mannofructokinase
UMLS:C0061659	glycoprotein D, Human herpesvirus 1	MESH	C039447	glycoprotein D, Human herpesvirus 1
UMLS:C0671963	isoflavone 7-O-methyltransferase	MESH	C110900	isoflavone 7-O-methyltransferase
UMLS:C0632027	4-hydroxybenzoylglycylarginine	MESH	C053950	4-hydroxybenzoylglycylarginine
UMLS:C1505437	PPI 2458	MESH	C488724	PPI 2458
UMLS:C1505437	PPI 2458	DRUGBANK	DB05864	PPI-2458
UMLS:C0960944	inx2 protein, Drosophila	MESH	C120024	inx2 protein, Drosophila
UMLS:C1421286	UBE2L3	MESH	C079437	UBE2L3 protein, human
UMLS:C1135611	Iron-Binding Proteins	MESH	D033862	Iron-Binding Proteins
UMLS:C1414236	EBP	MESH	C090445	EBP protein, human
UMLS:C0297882	BPHL	MESH	C093745	BPHL protein, human
UMLS:C1332775	COL4A6	MESH	C559044	COL4A6 protein, human
UMLS:C1144395	fibrinogen Aalpha	MESH	C464794	fibrinogen Aalpha
UMLS:C2369750	silodosin 4 MG	RXCUI	826611	
UMLS:C0068604	neuromedin N	MESH	C042090	neuromedin N
UMLS:C1165353	anhydrous dextrose	RXCUI	349730	
UMLS:C0295470	di-2-naphthylurea	MESH	C092587	di-2-naphthylurea
UMLS:C1740209	OSBP	MESH	C000730251	
UMLS:C0919466	FGF4	MESH	C496445	FGF4 protein, human
UMLS:C1413944	ASAP1	MESH	C117891	ASAP1 protein, human
UMLS:C1419209	RAB3IL1	MESH	C000634125	RAB3IL1 protein, human
UMLS:C0211718	2,2'-bipyridyl-6-carbothioamide-ferrous complex	MESH	C078811	2,2'-bipyridyl-6-carbothioamide-ferrous complex
UMLS:C0754442	Alexomycin	MESH	C102859	Alexomycin
UMLS:C1100848	gamma subunit, F(1) ATPase	MESH	C444660	gamma subunit, F(1) ATPase
UMLS:C1825164	FAM83D	MESH	C530359	FAM83D protein, human
UMLS:C2003121	MIRN155 microRNA, human	MESH	C524942	MIRN155 microRNA, human
UMLS:C0282564	anthracycline	CHEBI	48120	anthracycline
UMLS:C0282564	anthracycline	MESH	D018943	Anthracyclines
UMLS:C0087093	timolol maleate	RXCUI	42933	
UMLS:C0081448	Achatina cardio-excitatory peptide 1	MESH	C063480	Achatina cardio-excitatory peptide 1
UMLS:C1413102	CAMK2G	MESH	C517662	CAMK2G protein, human
UMLS:C0020239	Hydro-Lyases	MESH	D006836	Hydro-Lyases
UMLS:C5201155	Conbercept	MESH	C527363	KH902 fusion protein
UMLS:C5201155	Conbercept	DRUGBANK	DB12460	Conbercept
UMLS:C3180948	karrikinolide	MESH	C557869	karrikinolide
UMLS:C1435952	Peceol	MESH	C482692	Peceol
UMLS:C4477221	depatuxizumab mafodotin	MESH	C000631685	depatuxizumab mafodotin
UMLS:C4477221	depatuxizumab mafodotin	DRUGBANK	DB11731	Depatuxizumab mafodotin
UMLS:C0653571	AR solution	MESH	C076428	AR solution
UMLS:C5444519	RAB35	MESH	C511183	RAB35 protein, human
UMLS:C0054809	carnitine dehydrogenase	MESH	C019842	carnitine dehydrogenase
UMLS:C0082731	Glycine dehydrogenase (decarboxylating)	MESH	D050841	Glycine Dehydrogenase (Decarboxylating)
UMLS:C0764385	TATA Box Binding Protein-Like Proteins	MESH	D035182	TATA Box Binding Protein-Like Proteins
UMLS:C1171976	buchnericin LB	MESH	C467686	buchnericin LB
UMLS:C0767163	piratoxin II	MESH	C119037	piratoxin II
UMLS:C1175941	segetoside B	MESH	C473380	segetoside B
UMLS:C1427618	THEMIS	MESH	C557796	thymocyte-expressed molecule involved in selection, human
UMLS:C1567702	Cpz protein, rat	MESH	C499286	Cpz protein, rat
UMLS:C0028199	nitroso compound	CHEBI	35800	nitroso compound
UMLS:C0028199	nitroso compound	MESH	D009603	Nitroso Compounds
UMLS:C1421352	UMODL1	MESH	C488198	UMODL1 protein, human
UMLS:C1419864	SCN5A	MESH	C568320	SCN5A protein, human
UMLS:C1871123	hopeaphenol	MESH	C518233	hopeaphenol
UMLS:C0046568	2-thienylalanine	MESH	C100177	2-thienylalanine
