combo_concept_id	combo_label	seed_identifier	canonical_identifier	equivalent_identifier	equivalent_label	mapping_confidence	mapping_source
1.2.1.6	Laser_Acupuncture	UMLS:C0394654	UMLS:C0394654	SNOMEDCT:231106001	Laser acupuncture	0.9	combo_crosswalk_from_mrconso.tsv
1.2.2	Trigger_Point_Acupuncture	UMLS:C2986609	UMLS:C2986609	UMLS:C2986609	Trigger Point Acupuncture		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.2.2	Trigger_Point_Acupuncture	UMLS:C2986609	UMLS:C2986609	NCIT:C94635	Trigger Point Acupuncture	0.9	combo_crosswalk_from_mrconso.tsv
1.2.3	Auriculotherapy	UMLS:C2350276	UMLS:C2350276	UMLS:C2350276	Auriculotherapy		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.2.3	Auriculotherapy	UMLS:C2350276	UMLS:C2350276	MESH:D055097	Auriculotherapy	0.9	combo_crosswalk_from_mrconso.tsv
1.2.3	Auriculotherapy	MESH:D055097	UMLS:C2350276	UMLS:C2350276	Auriculotherapy		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.2.3	Auriculotherapy	MESH:D055097	UMLS:C2350276	MESH:D055097	Auriculotherapy	0.9	combo_crosswalk_from_mrconso.tsv
1.2.4	Acustimulation_Therapy	UMLS:C1515885	UMLS:C1515885	UMLS:C1515885	Acustimulation Therapy		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.2.4	Acustimulation_Therapy	UMLS:C1515885	UMLS:C1515885	NCIT:C15761	Acustimulation Therapy	0.9	combo_crosswalk_from_mrconso.tsv
1.2.5	Percutaneous_Collagen_Induction	UMLS:C5780323	UMLS:C5780323	UMLS:C5780323			self
1.2.5	Percutaneous_Collagen_Induction	UMLS:C5780323	UMLS:C5780323	MESH:D000097244	Percutaneous Collagen Induction	0.9	combo_crosswalk_from_mrconso.tsv
1.2.5	Percutaneous_Collagen_Induction	MESH:D000097244	UMLS:C5780323	UMLS:C5780323			self
