input_curie	preferred_identifier	preferred_label	confidence	method	evidence
MESH:D020831	UMLS:C0752217	Acupuncture, Ear	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MESH:D020835	UMLS:C0752221	Medicine, Kampo	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
NCIT:C51975	UMLS:C0814263	Meditation Therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
MTH:NOCODE	UMLS:C0814263	Meditation Therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MTH
MTH:NOCODE	UMLS:C0851189	Application of ice packs	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MTH
MESH:D006990	UMLS:C0870676		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
SNOMEDCT:702545008	UMLS:C0871175	Psychoeducation	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
MESH:D026201	UMLS:C0949352		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
NCIT:C21125	UMLS:C0949353	Rolfing	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
MESH:D026201	UMLS:C0949353	Rolfing	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MESH:D008405	UMLS:C0949354		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MTH:NOCODE	UMLS:C0949354		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MTH
MESH:D026201	UMLS:C0949741	Musculoskeletal Manipulations	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MESH:D026201	UMLS:C0949742		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
SNOMEDCT:150705008	UMLS:C0949744	Osteopathic manipulation (procedure)	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
SNOMEDCT:16992002	UMLS:C0949744	Osteopathic manipulation (procedure)	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
MTH:NOCODE	UMLS:C0949744	Osteopathic manipulation (procedure)	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MTH
MESH:D026301	UMLS:C0949744	Osteopathic manipulation (procedure)	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
ICD9CM:93.6	UMLS:C0949744	Osteopathic manipulation (procedure)	0.9	umls_mrconso_cui_crosswalk	MRCONSO:ICD9CM
NCIT:C189763	UMLS:C0949744	Osteopathic manipulation (procedure)	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
MESH:D027641	UMLS:C0949806	Laughter Therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MESH:D027681	UMLS:C0949807	Eclecticism, Historical	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
NCIT:C51973	UMLS:C0949912	Faith Healing	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
MESH:D029221	UMLS:C0949912	Faith Healing	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MESH:D019124	UMLS:C0969660		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MESH:D026421	UMLS:C0969699	Sensory Art Therapies	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
SNOMEDCT:439822002	UMLS:C0973228	Shiatsu	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
MESH:D019050	UMLS:C0973228	Shiatsu	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
SNOMEDCT:398139005	UMLS:C0973228	Shiatsu	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
MESH:D038861	UMLS:C1136246	Medicine, Tibetan Traditional	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MESH:D038441	UMLS:C1138412		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
SNOMEDCT:1255163004	UMLS:C1138412		0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
SNOMEDCT:394060007	UMLS:C1273412	Chinese herbal medicine	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
