preferred_identifier	preferred_label	evidence	source_file
MESH:D009282	Naphthalenesulfonates	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D009360	Neoplastic Cells, Circulating	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D009539	Nicotinic Acids	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D009579	Nitrobenzoates	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D009581	Nitrofurans	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D009593	Nitroimidazoles	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D009604	Nitrosoguanidines	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D009636	Norbornanes	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D009650	Norpregnanes	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D009653	Norprogesterones	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D009654	Norsteroids	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D009662	Nortropanes	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D009822	Oils, Volatile	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D009829	Oleic Acids	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D009942	Organometallic Compounds	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D010077	Oxazepines	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D010168	Palmitates	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D010169	Palmitic Acids	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D010422	Pentanones	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D010428	Pentosephosphates	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D010618	Phenanthrolines	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D010619	Phenazines	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D010627	Phenethylamines	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D010642	Phenoxyacetates	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D010647	Phenyl Ethers	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D010655	Phenylenediamines	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D010666	Phenylpropionates	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D010742	Phospholipid Ethers	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
